area,relative_path,role,extension,bytes,sha256
north-lake-greenery,liangxiang/core-areas/north-lake-greenery/2026-06-14-03-siyuan-pavilion-ceremony-area.jpg,appearance-reference,jpg,225169,be3cec1eba60461a01ba759a00f4951c3d4f702e9e7d5628a84ea1cb5533575e
north-lake-greenery,liangxiang/core-areas/north-lake-greenery/2026-06-14-04-siyuan-area-view-to-red-bridge.jpg,appearance-reference,jpg,199473,5efa2a95dec9d1cb5d68154c7d819b21fbed46939e5151211a3f1086de9dda93
north-lake-greenery,liangxiang/core-areas/north-lake-greenery/2026-north-lake-red-bridge-skyline-student-view.jpg,appearance-reference,jpg,157907,cd2e4b40b083472044086fba69f925ab107ca0828d2e55e22f415941f20b3623
north-lake-greenery,liangxiang/core-areas/north-lake-greenery/2026-north-lake-white-bridge-pavilion-student-view.jpg,appearance-reference,jpg,362448,759c685982bd48b10bd5e6afa086651b2093544dccf1591fb55fa69dbf485c46
shuttle-bus,liangxiang/core-areas/shuttle-bus/2020-liangxiang-shuttle-repost.jpeg,appearance-reference,jpeg,144077,1b65404c550e5bfcf6507a3a9b6ada48915c2acda0b4b04f87862a12504287a1
shuttle-bus,liangxiang/core-areas/shuttle-bus/2021-shuttle-station-wikimedia.jpg,appearance-reference,jpg,10260166,ed39801432898f97a29adeea8f031ca29c79ae122e330b5f1b2cd73ec6a99bce
shuttle-bus,liangxiang/core-areas/shuttle-bus/2023-07-03-metro-shuttle-BV1yM4y177yW.jpg,video-thumbnail,jpg,742894,2127d6615689ec0003eaa4703568f79d9516b7417a34a87e1b38dd7a9bcefe6d
shuttle-bus,liangxiang/core-areas/shuttle-bus/2023-07-07-night-metro-shuttle-BV1Ch4y177n9.jpg,video-thumbnail,jpg,670983,56414398fea1725425f601f0a1214e4558d10ba825c7f5312d0def065c280d3b
shuttle-bus,liangxiang/core-areas/shuttle-bus/2023-bit-shuttle-official-english-site.jpg,appearance-reference,jpg,308623,4553ba3accfd0f0c3f13ca5dd1dccf4ab2f7cb8b58abe267752e1142503e744a
shuttle-bus,liangxiang/core-areas/shuttle-bus/2024-06-28-rainbow-bus-BV1xJ4m1u7Jw.jpg,video-thumbnail,jpg,751958,07c7a3109372071f700a0d1231800737bd8e9214699000f2b19c07e5673baf58
shuttle-bus,liangxiang/core-areas/shuttle-bus/2024-10-19-bus-service-meme-BV1PFCRYyE9G.jpg,video-thumbnail,jpg,610066,268da5b2e21e585434df316d0c1a44b05163ecf8064d887659bb77e2abd80dde
